"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","86.45","85.17","87.45","85.06","401.36K","0.05%"
"06/01/2024","86.41","81.15","87.22","76.76","5.73M","5.87%"
"05/01/2024","81.62","85.80","85.89","80.65","6.48M","-7.10%"
"04/01/2024","87.86","86.98","92.18","85.79","7.30M","0.43%"
"03/01/2024","87.48","82.07","87.70","81.08","6.02M","4.62%"
"02/01/2024","83.62","80.57","84.31","76.62","5.84M","2.34%"
"01/01/2024","81.71","77.39","84.80","74.79","6.23M","6.06%"
"12/01/2023","77.04","80.67","81.72","72.29","4.66M","-6.99%"
"11/01/2023","82.83","85.45","87.80","76.60","5.63M","-5.24%"
"10/01/2023","87.41","92.18","93.79","83.44","7.05M","-8.29%"
"09/01/2023","95.31","86.82","97.69","86.74","5.54M","9.73%"
"08/01/2023","86.86","85.24","88.10","81.94","6.26M","1.52%"
"07/01/2023","85.56","75.11","85.80","74.56","5.64M","14.23%"
"06/01/2023","74.90","72.15","78.73","71.57","5.45M","3.08%"
"05/01/2023","72.66","80.11","80.24","71.28","5.61M","-8.65%"
"04/01/2023","79.54","86.00","87.49","77.39","4.71M","-0.29%"
"03/01/2023","79.77","83.05","86.75","70.12","5.89M","-4.91%"
"02/01/2023","83.89","85.56","86.95","79.10","4.54M","-0.71%"
"01/01/2023","84.49","85.96","89.09","77.61","4.34M","-1.65%"
"12/01/2022","85.91","86.78","89.37","75.11","3.90M","0.56%"
"11/01/2022","85.43","92.67","99.56","80.61","4.97M","-9.91%"
"10/01/2022","94.83","86.35","98.75","86.35","4.46M","7.81%"
"09/01/2022","87.96","95.18","96.99","83.65","4.05M","-8.84%"
"08/01/2022","96.49","103.92","105.48","91.51","4.39M","-12.29%"
"07/01/2022","110.01","109.49","114.75","94.50","4.28M","-4.18%"
"06/01/2022","114.81","116.08","125.19","107.03","4.46M","-6.54%"
"05/01/2022","122.84","106.30","125.28","101.30","4.50M","12.35%"
"04/01/2022","109.34","105.25","114.84","97.57","3.80M","1.33%"
"03/01/2022","107.91","98.43","139.13","96.93","6.28M","6.85%"
"02/01/2022","100.99","89.62","105.79","87.72","5.89M","10.72%"
"01/01/2022","91.21","78.11","91.70","77.04","5.45M","17.27%"
"12/01/2021","77.78","69.80","80.17","65.72","5.18M","10.22%"
"11/01/2021","70.57","83.63","85.50","70.22","6.62M","-16.37%"
"10/01/2021","84.38","78.49","86.70","77.55","6.30M","7.46%"
"09/01/2021","78.52","71.68","80.75","70.42","5.09M","7.58%"
"08/01/2021","72.99","75.39","75.39","64.60","5.51M","-4.38%"
"07/01/2021","76.33","74.69","77.84","67.44","5.85M","1.60%"
"06/01/2021","75.13","69.39","76.60","69.29","5.06M","8.38%"
"05/01/2021","69.32","66.70","70.24","64.57","5.09M","3.08%"
"04/01/2021","67.25","63.12","68.95","61.25","5.05M","5.84%"
"03/01/2021","63.54","64.85","71.38","60.27","6.63M","-3.92%"
"02/01/2021","66.13","54.91","67.70","54.60","5.09M","18.34%"
"01/01/2021","55.88","51.50","57.42","50.56","5.27M","7.88%"
"12/01/2020","51.80","47.79","52.48","46.82","4.51M","8.85%"
"11/01/2020","47.59","37.37","49.09","35.74","5.04M","27.04%"
"10/01/2020","37.46","42.17","43.57","36.64","5.15M","-8.52%"
"09/01/2020","40.95","45.60","46.22","39.30","4.40M","-9.56%"
"08/01/2020","45.28","43.53","46.53","42.89","3.61M","4.57%"
"07/01/2020","43.30","41.58","44.89","41.03","4.03M","5.22%"
"06/01/2020","41.15","37.56","43.93","37.01","4.28M","16.47%"
"05/01/2020","35.33","26.95","36.98","25.50","3.80M","39.81%"
"04/01/2020","25.27","25.99","36.40","15.98","6.45M","11.13%"
"03/01/2020","22.74","48.95","53.90","21.65","7.36M","-54.99%"
"02/01/2020","50.52","56.16","60.00","50.05","5.27M","-13.14%"
"01/01/2020","58.16","66.41","71.75","57.71","5.80M","-11.88%"
"12/01/2019","66.00","60.73","68.99","60.30","4.45M","5.72%"
"11/01/2019","62.43","59.45","64.60","59.40","4.79M","3.65%"
"10/01/2019","60.23","59.38","62.34","56.15","5.61M","-0.90%"
"09/01/2019","60.78","58.80","71.95","57.23","5.63M","0.58%"
"08/01/2019","60.43","64.09","64.54","55.88","5.98M","-7.27%"
"07/01/2019","65.17","65.05","67.65","61.29","5.71M","-2.07%"
"06/01/2019","66.55","61.64","66.85","59.45","5.70M","3.19%"
"05/01/2019","64.49","71.73","73.40","64.37","6.13M","-11.41%"
"04/01/2019","72.80","67.58","75.60","67.58","5.49M","6.45%"
"03/01/2019","68.39","66.48","68.89","64.02","4.84M","3.57%"
"02/01/2019","66.03","61.06","67.73","60.46","4.55M","6.69%"
"01/01/2019","61.89","54.12","63.15","52.51","5.48M","15.04%"
"12/01/2018","53.80","59.98","63.73","49.93","4.73M","-8.36%"
"11/01/2018","58.71","74.69","74.99","57.50","6.26M","-22.21%"
"10/01/2018","75.47","82.79","86.74","75.09","6.90M","-8.76%"
"09/01/2018","82.72","77.69","82.87","75.64","4.69M","6.85%"
"08/01/2018","77.42","74.07","78.03","70.30","4.73M","4.27%"
"07/01/2018","74.25","78.55","79.51","71.19","5.56M","-6.53%"
"06/01/2018","79.44","77.71","79.70","72.45","5.97M","2.38%"
"05/01/2018","77.59","74.65","80.50","72.38","6.37M","3.22%"
"04/01/2018","75.17","69.32","75.47","66.69","6.23M","6.97%"
"03/01/2018","70.27","64.57","71.05","63.19","5.34M","6.83%"
"02/01/2018","65.78","69.00","70.02","61.76","5.66M","-4.74%"
"01/01/2018","69.05","66.55","71.28","66.24","5.48M","3.26%"
"12/01/2017","66.87","62.74","67.10","61.13","4.86M","5.19%"
"11/01/2017","63.57","61.07","64.65","60.00","6.25M","3.58%"
"10/01/2017","61.37","56.73","61.41","55.06","6.55M","6.66%"
"09/01/2017","57.54","52.84","59.49","51.99","5.05M","9.85%"
"08/01/2017","52.38","52.70","53.64","50.00","6.33M","-0.51%"
"07/01/2017","52.65","48.95","52.92","46.11","5.44M","9.87%"
"06/01/2017","47.92","51.17","51.45","44.35","6.85M","-4.75%"
"05/01/2017","50.31","51.88","54.67","46.64","7.34M","-2.75%"
"04/01/2017","51.73","53.62","56.65","50.45","5.47M","-2.08%"
"03/01/2017","52.83","56.45","57.05","49.71","6.24M","-4.96%"
"02/01/2017","55.59","55.55","57.45","54.44","5.08M","-0.20%"
"01/01/2017","55.70","57.05","58.37","53.58","5.55M","-1.97%"
"12/01/2016","56.82","51.72","57.89","51.51","5.16M","12.58%"
"11/01/2016","50.47","48.72","50.49","43.57","6.24M","4.49%"
"10/01/2016","48.30","50.02","53.73","47.98","5.41M","-1.55%"
"09/01/2016","49.06","46.98","50.14","45.09","5.44M","4.29%"
"08/01/2016","47.04","43.11","51.22","41.51","5.62M","10.79%"
"07/01/2016","42.46","49.90","50.75","41.80","4.89M","-14.53%"
"06/01/2016","49.68","49.65","52.86","46.69","5.06M","-0.02%"
"05/01/2016","49.69","47.37","50.51","43.33","5.50M","3.24%"
"04/01/2016","48.13","40.14","48.50","37.27","5.67M","21.54%"
"03/01/2016","39.60","36.60","42.54","35.95","5.29M","10.09%"
"02/01/2016","35.97","35.85","37.00","29.92","6.11M","3.54%"
"01/01/2016","34.74","37.85","38.99","27.10","5.13M","-6.81%"
"12/01/2015","37.28","44.62","45.18","35.98","4.34M","-16.43%"
"11/01/2015","44.61","49.50","50.91","43.15","4.64M","-9.99%"
"10/01/2015","49.56","48.40","54.05","46.41","4.60M","2.46%"
"09/01/2015","48.37","52.92","53.47","45.98","4.49M","-10.67%"
"08/01/2015","54.15","51.55","54.32","42.23","5.04M","3.72%"
"07/01/2015","52.21","63.02","63.35","51.63","4.72M","-17.90%"
"06/01/2015","63.59","65.59","66.36","60.94","4.82M","-3.00%"
"05/01/2015","65.56","66.78","69.63","61.24","4.28M","-1.83%"
"04/01/2015","66.78","55.18","66.93","54.00","4.36M","21.18%"
"03/01/2015","55.11","62.50","62.50","52.50","4.58M","-11.94%"
"02/01/2015","62.58","52.68","63.00","51.41","5.13M","18.10%"
"01/01/2015","52.99","58.02","58.54","45.19","5.06M","-7.57%"
"12/01/2014","57.33","70.15","73.03","55.81","4.14M","-18.28%"
"11/01/2014","70.15","85.85","86.40","69.78","4.42M","-18.30%"
"10/01/2014","85.86","94.77","96.23","82.60","4.87M","-9.31%"
"09/01/2014","94.67","102.95","103.30","94.24","3.92M","-8.26%"
"08/01/2014","103.19","105.60","106.85","101.07","3.40M","-2.67%"
"07/01/2014","106.02","112.50","112.83","104.39","4.16M","-5.64%"
"06/01/2014","112.36","109.70","115.71","107.77","3.92M","2.70%"
"05/01/2014","109.41","108.08","111.04","106.85","3.57M","1.24%"
"04/01/2014","108.07","107.66","110.65","103.95","3.72M","0.29%"
"03/01/2014","107.76","109.44","112.39","105.41","3.53M","-1.20%"
"02/01/2014","109.07","106.40","110.82","105.40","3.28M","2.51%"
"01/01/2014","106.40","111.00","111.35","105.44","3.92M","-3.97%"
"12/01/2013","110.80","109.60","113.02","107.80","3.10M","1.01%"
"11/01/2013","109.69","109.05","111.66","102.98","4.18M","0.78%"
"10/01/2013","108.84","108.38","112.00","106.27","4.40M","0.43%"
"09/01/2013","108.37","114.00","116.56","107.22","3.54M","-4.95%"
"08/01/2013","114.01","107.81","117.34","105.85","4.05M","5.86%"
"07/01/2013","107.70","101.90","109.72","101.63","4.01M","5.42%"
"06/01/2013","102.16","100.15","106.67","99.66","3.89M","1.76%"
"05/01/2013","100.39","101.82","105.94","98.76","4.31M","-1.93%"
"04/01/2013","102.37","110.15","111.79","96.75","4.68M","-6.95%"
"03/01/2013","110.02","110.90","112.23","106.80","3.71M","-0.36%"
"02/01/2013","110.42","114.90","118.27","109.91","2.51M","-3.60%"
"01/01/2013","114.54","110.10","114.74","108.70","3.23M","4.23%"
"12/01/2012","109.89","110.18","111.35","105.80","2.11M","-0.33%"
"11/01/2012","110.25","107.42","111.38","104.09","2.78M","2.50%"
"10/01/2012","107.56","111.39","114.95","105.93","3.38M","-3.60%"
"09/01/2012","111.58","114.07","117.37","106.49","3.06M","-2.17%"
"08/01/2012","114.05","103.70","115.75","102.97","2.83M","9.83%"
"07/01/2012","103.84","97.83","107.40","95.35","3.01M","6.09%"
"06/01/2012","97.88","101.31","101.95","88.91","3.19M","-3.50%"
"05/01/2012","101.43","119.15","119.70","100.90","3.04M","-15.10%"
"04/01/2012","119.47","122.94","125.97","116.70","3.80M","-2.78%"
"03/01/2012","122.88","123.00","128.40","120.97","3.79M","0.18%"
"02/01/2012","122.66","111.30","125.55","111.02","3.83M","10.52%"
"01/01/2012","110.98","108.35","115.12","108.35","3.76M","3.35%"
"12/01/2011","107.38","110.75","111.62","102.37","2.68M","-2.84%"
"11/01/2011","110.52","109.09","116.48","105.65","4.26M","0.88%"
"10/01/2011","109.56","102.00","114.80","99.11","4.03M","6.62%"
"09/01/2011","102.76","114.85","116.60","101.66","4.08M","-10.53%"
"08/01/2011","114.85","117.00","120.40","98.74","4.95M","-1.62%"
"07/01/2011","116.74","111.80","119.87","109.50","3.29M","3.79%"
"06/01/2011","112.48","117.07","121.47","102.28","4.72M","-3.64%"
"05/01/2011","116.73","126.10","126.54","105.15","4.61M","-7.28%"
"04/01/2011","125.89","117.61","127.02","116.75","3.08M","7.27%"
"03/01/2011","117.36","111.90","118.50","107.35","3.76M","4.97%"
"02/01/2011","111.80","101.01","119.79","97.51","3.68M","10.68%"
"01/01/2011","101.01","94.75","101.73","92.37","3.58M","6.61%"
"12/01/2010","94.75","85.71","95.20","85.41","2.61M","10.28%"
"11/01/2010","85.92","83.13","89.70","82.43","3.58M","3.33%"
"10/01/2010","83.15","82.21","86.02","80.75","3.50M","1.02%"
"09/01/2010","82.31","74.46","82.40","74.42","3.24M","10.28%"
"08/01/2010","74.64","78.11","82.86","71.75","3.28M","-4.53%"
"07/01/2010","78.18","74.65","78.31","70.77","2.92M","4.23%"
"06/01/2010","75.01","74.82","79.86","70.50","3.38M","0.48%"
"05/01/2010","74.65","87.44","89.58","68.15","3.47M","-14.63%"
"04/01/2010","87.44","82.44","87.75","82.22","3.12M","5.73%"
"03/01/2010","82.70","77.69","82.82","76.21","3.38M","6.59%"
"02/01/2010","77.59","71.35","78.94","67.87","3.29M","8.58%"
"01/01/2010","71.46","78.49","82.45","71.02","2.81M","-8.30%"
"12/01/2009","77.93","78.42","79.91","71.02","2.46M","-0.69%"
"11/01/2009","78.47","75.24","80.14","73.70","2.92M","4.35%"
"10/01/2009","75.20","68.92","80.26","65.90","2.94M","8.88%"
"09/01/2009","69.07","69.65","72.20","64.08","2.75M","-0.83%"
"08/01/2009","69.65","71.98","76.00","68.85","2.15M","-2.86%"
"07/01/2009","71.70","69.90","72.12","59.49","2.49M","3.46%"
"06/01/2009","69.30","65.77","73.50","64.91","2.39M","5.77%"
"05/01/2009","65.52","50.70","65.80","49.96","1.95M","28.98%"
"04/01/2009","50.80","48.37","54.31","47.26","2.04M","3.19%"
"03/01/2009","49.23","45.56","53.86","41.30","2.18M","6.21%"
"02/01/2009","46.35","46.06","48.42","39.35","1.93M","1.02%"
"01/01/2009","45.88","43.85","52.21","41.60","2.16M","0.64%"
"12/01/2008","45.59","53.00","53.00","36.20","1.87M","-14.77%"
"11/01/2008","53.49","64.30","67.76","47.40","2.12M","-18.11%"
"10/01/2008","65.32","99.45","100.31","59.02","2.39M","-33.46%"
"09/01/2008","98.17","115.50","115.56","88.90","2.35M","-13.92%"
"08/01/2008","114.05","123.42","127.94","110.31","2.00M","-8.01%"
"07/01/2008","123.98","140.44","147.50","120.88","2.14M","-11.34%"
"06/01/2008","139.83","127.22","143.91","121.32","2.15M","9.43%"
"05/01/2008","127.78","112.74","135.14","108.42","2.34M","14.74%"
"04/01/2008","111.36","100.50","117.56","98.99","2.34M","11.03%"
"03/01/2008","100.30","100.12","108.02","96.92","2.22M","0.20%"
"02/01/2008","100.10","91.50","101.27","86.83","2.23M","8.56%"
"01/01/2008","92.21","94.47","98.50","85.00","2.27M","-1.75%"
"12/01/2007","93.85","88.74","95.87","86.56","1.56M","6.33%"
"11/01/2007","88.26","90.94","96.65","87.55","2.22M","-2.62%"
"10/01/2007","90.63","79.25","91.18","75.64","2.11M","14.48%"
"09/01/2007","79.17","72.69","81.05","72.69","1.79M","8.91%"
"08/01/2007","72.69","76.95","77.16","68.14","1.81M","-5.66%"
"07/01/2007","77.05","71.22","78.40","70.92","1.59M","7.90%"
"06/01/2007","71.41","68.15","72.25","67.61","1.72M","4.95%"
"05/01/2007","68.04","67.53","71.80","63.80","2.03M","0.58%"
"04/01/2007","67.65","67.91","69.59","64.76","1.49M","-0.66%"
"03/01/2007","68.10","61.75","69.14","59.79","1.86M","10.03%"
"02/01/2007","61.89","57.16","62.18","56.10","1.77M","7.82%"
"01/01/2007","57.40","60.88","61.64","50.75","2.11M","-5.69%"
"12/01/2006","60.86","63.80","64.92","60.04","1.16M","-5.29%"
"11/01/2006","64.26","58.85","64.77","57.75","1.73M","8.86%"
"10/01/2006","59.03","62.70","62.82","57.39","1.85M","-5.52%"
"09/01/2006","62.48","70.42","70.66","59.32","1.51M","-11.06%"
"08/01/2006","70.25","75.15","78.65","68.82","1.36M","-6.52%"
"07/01/2006","75.15","73.26","78.18","72.11","1.56M","2.23%"
